Estimate,Std. Error,MCMC %,z value,Pr(>|z|),var,est_std
9.734284329849896,3.47020340832208,0,2.8051048265659557,0.005030021809230572,edges,9.73 (3.47)
-12.672185115221865,1.7362623861851305,0,-7.2985426719200275,2.909012510005424e-13,gwb1deg.fixed.3.2,-12.67 (1.74)
0.4073690503351419,4.255799376808066,0,0.09572092438264249,0.923742221952795,gwb2deg.fixed.4.5,0.41 (4.26)
0.4517310137956942,0.17558017414991017,0,2.5727905555555877,0.010088223720867973,b1factor.scale.subbasin,0.45 (0.18)
0.7659079479646566,0.35569085120174543,0,2.1532967333203596,0.03129536536503765,b2factor.scale.subbasin,0.77 (0.36)
0.8444447909733386,0.2690545766934889,0,3.1385631917175782,0.0016977832361206229,nodematch.scale,0.84 (0.27)
-0.9804926475885307,0.3744018045909607,0,-2.6188245771404146,0.008823330804115391,b2factor.work.ag.TRUE,-0.98 (0.37)
0.19478334416161613,0.32731373178984696,0,0.5950967687682518,0.5517787884217973,b2factor.work.dev.TRUE,0.19 (0.33)
0.30643868078415626,0.24121274541146767,0,1.270408328802959,0.2039392180058552,nodematch.work.ag,0.31 (0.24)
0.8155690729549371,0.23498329994139314,0,3.470753339315377,5.190005078710249e-4,nodematch.work.dev,0.82 (0.23)
